"Atom ID","Phase","Work item","Owner route","Status","Quality (Q)"
"LLA-A033","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","Changed-context vektörü ve semantic-dimension şartını dondur","BRAIN","ACCEPTED","97"
"LLA-A034","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","Listening/speaking/typing evidence modalite ayrımını dondur","BRAIN","ACCEPTED","98"
"LLA-A035","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","German error taxonomy ve severity modelini dondur","BRAIN","ACCEPTED","94"
"LLA-A036","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","Accepted variant, confidence ve unscored politikasını dondur","BRAIN","ACCEPTED","94"
"LLA-A037","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","Target-specific NFC/ASCII umlaut normalizasyonunu dondur","BRAIN","ACCEPTED","95"
"LLA-A038","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","N1 request-one skill/vocabulary/register scope'unu üret","BRAIN + NOTION","ACCEPTED_CANDIDATE","80"
"LLA-A039","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","N2 communication-repair skill/vocabulary/register scope'unu üret","BRAIN + NOTION","ACCEPTED_CANDIDATE","80"
"LLA-A040","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","N1/N2 canonical content pack ve güçlü schema adayını üret","WORKER → BRAIN","ACCEPTED_CANDIDATE","80"
"LLA-A041","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","N1/N2 fixture, source ve provenance bütünlüğünü mekanik doğrula","WORKER → BRAIN","ACCEPTED_CANDIDATE","80"
"LLA-A042","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","German language + DaF/DaZ reviewer bundle'ını hazırla","WORKER → BRAIN","ACCEPTED_CANDIDATE","79"
"LLA-A043","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","N1/N2 qualified German language review'ı kaydet","OWNER","BLOCKED_OWNER",""
"LLA-A044","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","N1/N2 DaF/DaZ pedagogy review'ı kaydet","OWNER","BLOCKED_OWNER",""
"LLA-A045","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","N1/N2 gerçek audio, alignment ve rights review'ı kaydet","OWNER","BLOCKED_OWNER",""
"LLA-A046","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Byte-for-byte canonical content reader acceptance gate","WORKER → BRAIN","ACCEPTED","97"
"LLA-A047","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Deterministic evaluator hardening ve adversarial acceptance","WORKER → BRAIN","ACCEPTED","96"
"LLA-A048","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Host-authoritative learning-event/trusted-context contract","WORKER → BRAIN","ACCEPTED","95"
"LLA-A049","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","In-memory append-only ledger ve deterministic projection","WORKER → BRAIN","ACCEPTED","94"
"LLA-A050","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Workspace dosya, tarihsel artifact, secret-risk ve production-source envanteri","BRAIN","ACCEPTED","97"
"LLA-A051","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Private GitHub repo/destination ve visibility kararı","OWNER + BRAIN","ACCEPTED","96"
"LLA-A052","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Remote/local reconciliation manifest, license boundary, `.gitignore` ve secret preflight","SPARK + WORKER → BRAIN","ACCEPTED","96"
"LLA-A053","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Clean clone branch, approved German artifact import, commit ve PR","WORKER + OWNER → BRAIN","ACCEPTED","96"
"LLA-A054","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Main/branch/PR/commit-SHA kabul politikasını uygula","OWNER + BRAIN","ACCEPTED","97"
"LLA-A055","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Notion atom tracker'ını roadmap/commit linkleriyle kur","SPARK + NOTION + OWNER → BRAIN","ACTIVE",""
"LLA-A056","Phase 03 — Kabul edilmiş teknik çekirdek ve source of truth","Fresh-clone testleri ve GitHub source-of-truth kabulü","BRAIN","PLANNED",""
"LLA-A057","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Stable Expo/React Native/New Architecture sürüm matrisi","NOTION → BRAIN","PLANNED",""
"LLA-A058","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","gluestack/NativeWind/Lucide/Noto lisans ve uyumluluk matrisi","SPARK + NOTION → BRAIN","PLANNED",""
"LLA-A059","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","UI stack/version ADR ve fallback kararı","BRAIN","PLANNED",""
"LLA-A060","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","İzole Expo UI compatibility spike'ı","WORKER → BRAIN","PLANNED",""
"LLA-A061","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","German glyph, NFC, quote ve compound-wrap smoke","SPARK + WORKER → BRAIN","PLANNED",""
"LLA-A062","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Dynamic type/screen-reader/reduced-motion smoke","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A063","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","UI spike kabulü ve dependency pinleri","BRAIN","PLANNED",""
"LLA-A064","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Better Auth Expo güncel docs/advisory araştırması","NOTION → BRAIN","PLANNED",""
"LLA-A065","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Guest/session/link/revoke threat model ve auth contract","BRAIN","PLANNED",""
"LLA-A066","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Guest + restart session spike'ı","WORKER → BRAIN","PLANNED",""
"LLA-A067","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Account link, logout/revoke ve deep-link spike'ı","WORKER → BRAIN","PLANNED",""
"LLA-A068","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Auth spike bağımsız kabulü","BRAIN","PLANNED",""
"LLA-A069","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Neon/Drizzle driver, pooling ve quota araştırması","NOTION → BRAIN","PLANNED",""
"LLA-A070","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Fastify + Zod minimal contract route spike'ı","WORKER → BRAIN","PLANNED",""
"LLA-A071","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Drizzle migration + pooled Neon integration spike'ı","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A072","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Server-side idempotency/concurrency spike'ı","WORKER → BRAIN","PLANNED",""
"LLA-A073","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","API/database spike kabulü","BRAIN","PLANNED",""
"LLA-A074","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","SQLite session/outbox schema spike'ı","WORKER → BRAIN","PLANNED",""
"LLA-A075","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Offline→online send/ack/cursor spike'ı","WORKER → BRAIN","PLANNED",""
"LLA-A076","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Duplicate/conflict/crash-recovery spike'ı","WORKER → BRAIN","PLANNED",""
"LLA-A077","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Koyeb ve alternatif hosting limit/latency matrix","NOTION → BRAIN","PLANNED",""
"LLA-A078","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Dev deploy, health, cold-start ve load ölçümü","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A079","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Hosting ADR ve dev-only/production hükmü","BRAIN","PLANNED",""
"LLA-A080","Phase 04 — Güncel teknoloji doğrulaması ve küçük spike'lar","Beş spike'ın birleşik kabul ve dependency kararı","BRAIN","PLANNED",""
"LLA-A081","Phase 05 — Repository kalitesi, persistence ve backend golden path","Monorepo/module-boundary ADR","BRAIN","PLANNED",""
"LLA-A082","Phase 05 — Repository kalitesi, persistence ve backend golden path","`apps/mobile`, `apps/api`, `packages/*`, `docs/*` scaffold","WORKER → BRAIN","PLANNED",""
"LLA-A083","Phase 05 — Repository kalitesi, persistence ve backend golden path","TypeScript/lint/format strict baseline","WORKER → BRAIN","PLANNED",""
"LLA-A084","Phase 05 — Repository kalitesi, persistence ve backend golden path","Unit/contract/integration test runner baseline","WORKER → BRAIN","PLANNED",""
"LLA-A085","Phase 05 — Repository kalitesi, persistence ve backend golden path","Environment ve secret validation","WORKER → BRAIN","PLANNED",""
"LLA-A086","Phase 05 — Repository kalitesi, persistence ve backend golden path","Shared schemas, OpenAPI ve typed-client generation contract","WORKER → BRAIN","PLANNED",""
"LLA-A087","Phase 05 — Repository kalitesi, persistence ve backend golden path","GitHub CI: types/lint/unit/contract/license gates","WORKER → BRAIN","PLANNED",""
"LLA-A088","Phase 05 — Repository kalitesi, persistence ve backend golden path","Provider quota, third-party data ve license registries","SPARK + NOTION + WORKER → BRAIN","PLANNED",""
"LLA-A089","Phase 05 — Repository kalitesi, persistence ve backend golden path","Persistent learning-ledger threat model/schema ADR","BRAIN","PLANNED",""
"LLA-A090","Phase 05 — Repository kalitesi, persistence ve backend golden path","PostgreSQL learning-event tables ve migration","WORKER → BRAIN","PLANNED",""
"LLA-A091","Phase 05 — Repository kalitesi, persistence ve backend golden path","Append-only constraints, idempotency ve unique keys","WORKER → BRAIN","PLANNED",""
"LLA-A092","Phase 05 — Repository kalitesi, persistence ve backend golden path","Persistent ledger repository adapter","WORKER → BRAIN","PLANNED",""
"LLA-A093","Phase 05 — Repository kalitesi, persistence ve backend golden path","Projection replay/checkpoint service","WORKER → BRAIN","PLANNED",""
"LLA-A094","Phase 05 — Repository kalitesi, persistence ve backend golden path","Transaction/concurrency/retry semantics","WORKER → BRAIN","PLANNED",""
"LLA-A095","Phase 05 — Repository kalitesi, persistence ve backend golden path","Sync cursor, tombstone ve device operation contract","BRAIN + WORKER","PLANNED",""
"LLA-A096","Phase 05 — Repository kalitesi, persistence ve backend golden path","Persistence adversarial + migration integration tests","WORKER → BRAIN","PLANNED",""
"LLA-A097","Phase 05 — Repository kalitesi, persistence ve backend golden path","Curriculum/content-release read model endpoint","WORKER → BRAIN","PLANNED",""
"LLA-A098","Phase 05 — Repository kalitesi, persistence ve backend golden path","Content manifest/download/version endpoint","WORKER → BRAIN","PLANNED",""
"LLA-A099","Phase 05 — Repository kalitesi, persistence ve backend golden path","Guest identity ve learner-preferences endpoint","WORKER → BRAIN","PLANNED",""
"LLA-A100","Phase 05 — Repository kalitesi, persistence ve backend golden path","Learning session start/resume/finish endpoints","WORKER → BRAIN","PLANNED",""
"LLA-A101","Phase 05 — Repository kalitesi, persistence ve backend golden path","Attempt→evaluator→evidence transactional path","WORKER → BRAIN","PLANNED",""
"LLA-A102","Phase 05 — Repository kalitesi, persistence ve backend golden path","Return scheduler ve `/practice/due` endpoint","WORKER → BRAIN","PLANNED",""
"LLA-A103","Phase 05 — Repository kalitesi, persistence ve backend golden path","Learner export/delete temel veri hakkı","WORKER → BRAIN","PLANNED",""
"LLA-A104","Phase 05 — Repository kalitesi, persistence ve backend golden path","Authorization, rate-limit ve error-envelope contract","BRAIN + WORKER","PLANNED",""
"LLA-A105","Phase 05 — Repository kalitesi, persistence ve backend golden path","Backend full integration/rollback tests","WORKER → BRAIN","PLANNED",""
"LLA-A106","Phase 05 — Repository kalitesi, persistence ve backend golden path","Backend golden-path acceptance","BRAIN","PLANNED",""
"LLA-A107","Phase 06 — Mobile platform temeli","Accepted Expo app scaffold","WORKER → BRAIN","PLANNED",""
"LLA-A108","Phase 06 — Mobile platform temeli","App shell, navigation ve deep links","WORKER → BRAIN","PLANNED",""
"LLA-A109","Phase 06 — Mobile platform temeli","English UI localization/future locale structure","WORKER → BRAIN","PLANNED",""
"LLA-A110","Phase 06 — Mobile platform temeli","Semantic design tokens","BRAIN + WORKER","PLANNED",""
"LLA-A111","Phase 06 — Mobile platform temeli","Noto typography, Lucide icon registry ve licenses","WORKER → BRAIN","PLANNED",""
"LLA-A112","Phase 06 — Mobile platform temeli","Seçilmiş gluestack/custom primitives","WORKER → BRAIN","PLANNED",""
"LLA-A113","Phase 06 — Mobile platform temeli","Focus, target size, contrast ve accessibility primitives","WORKER → BRAIN","PLANNED",""
"LLA-A114","Phase 06 — Mobile platform temeli","Generated/typed API client","WORKER → BRAIN","PLANNED",""
"LLA-A115","Phase 06 — Mobile platform temeli","Guest/auth session adapter","WORKER → BRAIN","PLANNED",""
"LLA-A116","Phase 06 — Mobile platform temeli","Expo SQLite schema ve migrations","WORKER → BRAIN","PLANNED",""
"LLA-A117","Phase 06 — Mobile platform temeli","Versioned content cache repository","WORKER → BRAIN","PLANNED",""
"LLA-A118","Phase 06 — Mobile platform temeli","Local learning-event store/outbox","WORKER → BRAIN","PLANNED",""
"LLA-A119","Phase 06 — Mobile platform temeli","Sync cursor/retry/backoff/reconciliation","WORKER → BRAIN","PLANNED",""
"LLA-A120","Phase 06 — Mobile platform temeli","SecureStore token/key lifecycle","WORKER → BRAIN","PLANNED",""
"LLA-A121","Phase 06 — Mobile platform temeli","FileSystem audio/cache lifecycle","WORKER → BRAIN","PLANNED",""
"LLA-A122","Phase 06 — Mobile platform temeli","Offline/stale/pending/conflict state components","WORKER → BRAIN","PLANNED",""
"LLA-A123","Phase 06 — Mobile platform temeli","Crash-safe resume ve error boundary","WORKER → BRAIN","PLANNED",""
"LLA-A124","Phase 06 — Mobile platform temeli","Feature flags ve provider kill switches","WORKER → BRAIN","PLANNED",""
"LLA-A125","Phase 06 — Mobile platform temeli","Component/integration + Android/iOS device smoke","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A126","Phase 06 — Mobile platform temeli","Mobile platform acceptance","BRAIN","PLANNED",""
"LLA-A127","Phase 07 — Learner golden-path UI","Onboarding ve guest start","WORKER → BRAIN","PLANNED",""
"LLA-A128","Phase 07 — Learner golden-path UI","Atlas screen shell","BRAIN + WORKER","PLANNED",""
"LLA-A129","Phase 07 — Learner golden-path UI","SVG-first node/route geometry","WORKER → BRAIN","PLANNED",""
"LLA-A130","Phase 07 — Learner golden-path UI","Node evidence state ve accessible visual semantics","WORKER → BRAIN","PLANNED",""
"LLA-A131","Phase 07 — Learner golden-path UI","İlk route selection/start","WORKER → BRAIN","PLANNED",""
"LLA-A132","Phase 07 — Learner golden-path UI","Node detail ve “why now”","WORKER → BRAIN","PLANNED",""
"LLA-A133","Phase 07 — Learner golden-path UI","Lesson/Mission player state machine","BRAIN + WORKER","PLANNED",""
"LLA-A134","Phase 07 — Learner golden-path UI","`meaning_match` renderer","WORKER → BRAIN","PLANNED",""
"LLA-A135","Phase 07 — Learner golden-path UI","`sentence_builder` renderer","WORKER → BRAIN","PLANNED",""
"LLA-A136","Phase 07 — Learner golden-path UI","`typed_response` renderer","WORKER → BRAIN","PLANNED",""
"LLA-A137","Phase 07 — Learner golden-path UI","`changed_context_turn` renderer","WORKER → BRAIN","PLANNED",""
"LLA-A138","Phase 07 — Learner golden-path UI","Hint, reveal, anti-leak ve contamination UX","WORKER → BRAIN","PLANNED",""
"LLA-A139","Phase 07 — Learner golden-path UI","Canonical audio/TTS fallback player states","WORKER → BRAIN","PLANNED",""
"LLA-A140","Phase 07 — Learner golden-path UI","Evidence debrief","WORKER → BRAIN","PLANNED",""
"LLA-A141","Phase 07 — Learner golden-path UI","Practice-due/delayed-return flow","WORKER → BRAIN","PLANNED",""
"LLA-A142","Phase 07 — Learner golden-path UI","You can-do ve evidence timeline","WORKER → BRAIN","PLANNED",""
"LLA-A143","Phase 07 — Learner golden-path UI","Interruption/offline/resume behavior","WORKER → BRAIN","PLANNED",""
"LLA-A144","Phase 07 — Learner golden-path UI","Dynamic type/screen reader/reduced-motion pass","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A145","Phase 07 — Learner golden-path UI","Maestro onboarding→return E2E","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A146","Phase 07 — Learner golden-path UI","Learner golden-path acceptance","BRAIN","PLANNED",""
"LLA-A147","Phase 08 — Content operations ve tam ilk rota","Production content-schema validator/CLI","WORKER → BRAIN","PLANNED",""
"LLA-A148","Phase 08 — Content operations ve tam ilk rota","Asset/source/license register","SPARK + WORKER + NOTION → BRAIN","PLANNED",""
"LLA-A149","Phase 08 — Content operations ve tam ilk rota","Reviewer identity/decision record","BRAIN + WORKER","PLANNED",""
"LLA-A150","Phase 08 — Content operations ve tam ilk rota","Publish/revise/withdraw lifecycle","WORKER → BRAIN","PLANNED",""
"LLA-A151","Phase 08 — Content operations ve tam ilk rota","Content version semantic diff","WORKER → BRAIN","PLANNED",""
"LLA-A152","Phase 08 — Content operations ve tam ilk rota","Reviewer bundle export","WORKER → BRAIN","PLANNED",""
"LLA-A153","Phase 08 — Content operations ve tam ilk rota","Content↔audio alignment checker","WORKER → BRAIN","PLANNED",""
"LLA-A154","Phase 08 — Content operations ve tam ilk rota","CLI yeterliliği/admin UI go-no-go kararı","BRAIN","PLANNED",""
"LLA-A155","Phase 08 — Content operations ve tam ilk rota","N3 choice language/reference research","NOTION → BRAIN","PLANNED",""
"LLA-A156","Phase 08 — Content operations ve tam ilk rota","N3 skill/rubric/content design","BRAIN","PLANNED",""
"LLA-A157","Phase 08 — Content operations ve tam ilk rota","N3 package/fixtures/reviewer bundle","WORKER → BRAIN","PLANNED",""
"LLA-A158","Phase 08 — Content operations ve tam ilk rota","N3 German + pedagogy human approval","OWNER","BLOCKED_OWNER",""
"LLA-A159","Phase 08 — Content operations ve tam ilk rota","N4 price/payment language/reference research ve scope","NOTION → BRAIN","PLANNED",""
"LLA-A160","Phase 08 — Content operations ve tam ilk rota","N4 package/fixtures/reviewer bundle","WORKER → BRAIN","PLANNED",""
"LLA-A161","Phase 08 — Content operations ve tam ilk rota","N4 German + pedagogy human approval","OWNER","BLOCKED_OWNER",""
"LLA-A162","Phase 08 — Content operations ve tam ilk rota","N5 cumulative mission rubric/scenario design","BRAIN","PLANNED",""
"LLA-A163","Phase 08 — Content operations ve tam ilk rota","N5 content, fixtures ve runtime integration","WORKER → BRAIN","PLANNED",""
"LLA-A164","Phase 08 — Content operations ve tam ilk rota","N5 human approval ve pilot check","OWNER + BRAIN","BLOCKED_OWNER",""
"LLA-A165","Phase 08 — Content operations ve tam ilk rota","N6 delayed-return content/schedule integration","BRAIN + WORKER","PLANNED",""
"LLA-A166","Phase 08 — Content operations ve tam ilk rota","`de-DE` N1–N6 route release candidate","WORKER → BRAIN","PLANNED",""
"LLA-A167","Phase 09 — Canonical audio ve learner recording","de-DE speaker/region/audio style specification","BRAIN + NOTION","PLANNED",""
"LLA-A168","Phase 09 — Canonical audio ve learner recording","Talent release template human/legal review","OWNER","BLOCKED_OWNER",""
"LLA-A169","Phase 09 — Canonical audio ve learner recording","Speaker selection ve signed releases","OWNER","BLOCKED_OWNER",""
"LLA-A170","Phase 09 — Canonical audio ve learner recording","N1/N2 human recording session","OWNER","BLOCKED_OWNER",""
"LLA-A171","Phase 09 — Canonical audio ve learner recording","Loudness/format/naming QA","SPARK + WORKER → BRAIN","PLANNED",""
"LLA-A172","Phase 09 — Canonical audio ve learner recording","R2 ingest ve immutable asset hashes","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A173","Phase 09 — Canonical audio ve learner recording","Audio manifest/provenance kayıtları","WORKER → BRAIN","PLANNED",""
"LLA-A174","Phase 09 — Canonical audio ve learner recording","Text-audio alignment ve reviewer signoff","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A175","Phase 09 — Canonical audio ve learner recording","Download/cache/eviction implementation","WORKER → BRAIN","PLANNED",""
"LLA-A176","Phase 09 — Canonical audio ve learner recording","Replay/speed/no-overlap playback UX","WORKER → BRAIN","PLANNED",""
"LLA-A177","Phase 09 — Canonical audio ve learner recording","Expo Speech non-canonical fallback semantics","WORKER → BRAIN","PLANNED",""
"LLA-A178","Phase 09 — Canonical audio ve learner recording","Local record/replay, consent ve raw-audio deletion","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A179","Phase 09 — Canonical audio ve learner recording","Audio/recording end-to-end acceptance","BRAIN","PLANNED",""
"LLA-A180","Phase 10 — Kapalı alpha kalite ve release kapısı","Product event dictionary","SPARK + BRAIN","PLANNED",""
"LLA-A181","Phase 10 — Kapalı alpha kalite ve release kapısı","Evidence/product/operational telemetry ayrımı","BRAIN + WORKER","PLANNED",""
"LLA-A182","Phase 10 — Kapalı alpha kalite ve release kapısı","Consent/privacy/retention learner UI","BRAIN + WORKER + OWNER","PLANNED",""
"LLA-A183","Phase 10 — Kapalı alpha kalite ve release kapısı","Sentry güncel Expo/privacy research","NOTION → BRAIN","PLANNED",""
"LLA-A184","Phase 10 — Kapalı alpha kalite ve release kapısı","Sentry setup ve PII/answer/audio redaction","WORKER → BRAIN","PLANNED",""
"LLA-A185","Phase 10 — Kapalı alpha kalite ve release kapısı","Structured logs, trace ID ve operational metrics","WORKER → BRAIN","PLANNED",""
"LLA-A186","Phase 10 — Kapalı alpha kalite ve release kapısı","Feature-flag/provider kill-switch operasyon testi","WORKER → BRAIN","PLANNED",""
"LLA-A187","Phase 10 — Kapalı alpha kalite ve release kapısı","Quota exhaustion/deterministic fallback chaos testi","WORKER → BRAIN","PLANNED",""
"LLA-A188","Phase 10 — Kapalı alpha kalite ve release kapısı","Offline/sync duplicate/conflict/crash chaos testi","WORKER → BRAIN","PLANNED",""
"LLA-A189","Phase 10 — Kapalı alpha kalite ve release kapısı","Backup + gerçek restore provası","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A190","Phase 10 — Kapalı alpha kalite ve release kapısı","Dependency/secret/auth security review","NOTION + BRAIN","PLANNED",""
"LLA-A191","Phase 10 — Kapalı alpha kalite ve release kapısı","Export/delete doğrulaması","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A192","Phase 10 — Kapalı alpha kalite ve release kapısı","18+ kapalı-alpha katılımcı ve consent planı","OWNER + BRAIN","PLANNED",""
"LLA-A193","Phase 10 — Kapalı alpha kalite ve release kapısı","Pilot protocol, observation ve escalation formu","BRAIN","PLANNED",""
"LLA-A194","Phase 10 — Kapalı alpha kalite ve release kapısı","North-star/funnel/evidence dashboard","WORKER → BRAIN","PLANNED",""
